subtopic,usage_count,total_usage,cumulative_usage,cumulative_percentage
great-fiesta,540,4183374,4112586,98.31
unwelcoming-host,535,4183374,4113121,98.32
great-surprise,534,4183374,4113655,98.33
confusing-layout,533,4183374,4114188,98.35
dirty-sand,529,4183374,4114717,98.36
minor-complaint,528,4183374,4115245,98.37
small-suite,527,4183374,4115772,98.38
delicious-lunch,518,4183374,4116290,98.40
small-window,513,4183374,4116803,98.41
small-table,512,4183374,4117315,98.42
major-disappointment,511,4183374,4117826,98.43
flat-beer,507,4183374,4118333,98.45
great-lunch,503,4183374,4118836,98.46
comfortable-mattress,500,4183374,4119336,98.47
cold-bottle,498,4183374,4119834,98.48
dirty-balcony,496,4183374,4120330,98.49
available-chair,495,4183374,4120825,98.50
generous-portion,494,4183374,4121319,98.52
broken-glass,493,4183374,4121812,98.53
open-bar,488,4183374,4122300,98.54
overcrowded-attraction,487,4183374,4122787,98.55
perfect-temperature,478,4183374,4123265,98.56
fresh-coffee,477,4183374,4123742,98.57
expensive-cocktail,476,4183374,4124218,98.59
great-host,471,4183374,4124689,98.60
good-wifi-range,469,4183374,4125158,98.61
terrible-music,468,4183374,4125626,98.62
annoying-bug,465,4183374,4126091,98.63
expensive-inclusive,461,4183374,4126552,98.64
fresh-fruit,455,4183374,4127007,98.65
weak-cocktail,453,4183374,4127460,98.66
outdated-decoration,451,4183374,4127911,98.67
scarce-fruit,450,4183374,4128361,98.68
inclusive-package,445,4183374,4128806,98.70
delicious-fruit,442,4183374,4129248,98.71
great-gesture,439,4183374,4129687,98.72
major-concern,436,4183374,4130123,98.73
comfortable-lounge,433,4183374,4130989,98.75
denied-request,433,4183374,4130989,98.75
expensive-resort,430,4183374,4131849,98.77
great-transportation,430,4183374,4131849,98.77
outdated-design,428,4183374,4132277,98.78
cold-dish,427,4183374,4132704,98.79
great-vallarta,423,4183374,4133127,98.80
unreliable-shuttle,421,4183374,4133548,98.81
great-layout,418,4183374,4133966,98.82
delicious-meat,417,4183374,4134383,98.83
poor-wine,414,4183374,4134797,98.84
small-balcony,408,4183374,4135613,98.86
small-bottle,408,4183374,4135613,98.86
beautiful-style,406,4183374,4136425,98.88
small-buffet,406,4183374,4136425,98.88
tour-available,404,4183374,4136829,98.89
hot-breakfast,402,4183374,4137231,98.90
noisy-traveller,387,4183374,4137618,98.91
great-wine,383,4183374,4138001,98.92
local-attraction,380,4183374,4138761,98.93
modern-furniture,380,4183374,4138761,98.93
stale-snack,377,4183374,4139138,98.94
beautiful-sunset,376,4183374,4139890,98.96
heating-sufficient,376,4183374,4139890,98.96
diluted-juice,371,4183374,4140261,98.97
expensive-vallarta,369,4183374,4140630,98.98
professional-massage,362,4183374,4140992,98.99
expensive-transportation,361,4183374,4141353,99.00
free-access,359,4183374,4142071,99.01
thin-wall,359,4183374,4142071,99.01
great-rate,358,4183374,4142787,99.03
positive-vibe,358,4183374,4142787,99.03
delicious-juice,357,4183374,4143144,99.04
panoramic-view,356,4183374,4143500,99.05
convenient-store,354,4183374,4143854,99.06
rude-vendor,353,4183374,4144207,99.06
bad-taste,352,4183374,4144911,99.08
happy-traveller,352,4183374,4144911,99.08
great-communication,351,4183374,4145613,99.10
old-unit,351,4183374,4145613,99.10
expensive-dinner,348,4183374,4145961,99.11
great-balcony,345,4183374,4146306,99.11
tough-meat,344,4183374,4146650,99.12
free-bottle,342,4183374,4146992,99.13
delayed-refund,341,4183374,4147333,99.14
unavailable-help,337,4183374,4147670,99.15
dim-lighting,331,4183374,4148001,99.15
minor-disappointment,329,4183374,4148330,99.16
fun-club,328,4183374,4148658,99.17
eco-unfriendly,327,4183374,4148985,99.18
easy-check,325,4183374,4149310,99.19
absent-host,318,4183374,4149628,99.19
broken-lounger,317,4183374,4150262,99.21
limited-package,317,4183374,4150262,99.21
great-tv,316,4183374,4150578,99.22
hot-food,308,4183374,4151502,99.24
large-bug,308,4183374,4151502,99.24
late-lunch,308,4183374,4151502,99.24
happy-child,307,4183374,4151809,99.25
small-terrace,305,4183374,4152114,99.25
tour-absent,303,4183374,4152417,99.26
fair-charge,300,4183374,4152717,99.27
limited-board,296,4183374,4153013,99.27
overcooked-egg,295,4183374,4153603,99.29
subtopic_root,295,4183374,4153603,99.29
old-carpet,294,4183374,4154191,99.30
small-apartment,294,4183374,4154191,99.30
knowledgeable-staff,292,4183374,4154483,99.31
open-door,283,4183374,4154766,99.32
small-lobby,281,4183374,4155047,99.32
low-pressure,277,4183374,4155324,99.33
